QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
3550308 SÃO PAULO 2020-05-15 08:00:03 EW;3550308;EW;SÃO PAULO;2020-05-15T08:00:03Z;OK;1;EastWest
3550308 SÃO PAULO 2020-05-15 08:00:06 NS;3550308;NS;SÃO PAULO;2020-05-15T08:00:06Z;OK;1;NorthSouth
3304557 RIO DE JANEIRO 2020-05-15 08:00:08 EW;3304557;EW;RIO DE JANEIRO;2020-05-15T08:00:08Z;OK;1;EastWest
3304557 RIO DE JANEIRO 2020-05-15 08:00:10 NS;3304557;NS;RIO DE JANEIRO;2020-05-15T08:00:10Z;OK;1;NorthSouth
5300108 BRASÍLIA 2020-05-15 08:00:13 EW;5300108;EW;BRASÍLIA;2020-05-15T08:00:13Z;OK;1;EastWest
5300108 BRASÍLIA 2020-05-15 08:00:14 NS;5300108;NS;BRASÍLIA;2020-05-15T08:00:14Z;OK;1;NorthSouth
2927408 SALVADOR 2020-05-15 08:00:16 EW;2927408;EW;SALVADOR;2020-05-15T08:00:16Z;OK;1;EastWest
2927408 SALVADOR 2020-05-15 08:00:17 NS;2927408;NS;SALVADOR;2020-05-15T08:00:17Z;OK;1;NorthSouth
2304400 FORTALEZA 2020-05-15 08:00:18 EW;2304400;EW;FORTALEZA;2020-05-15T08:00:18Z;OK;1;EastWest
2304400 FORTALEZA 2020-05-15 08:00:20 NS;2304400;NS;FORTALEZA;2020-05-15T08:00:20Z;OK;1;NorthSouth
3106200 BELO HORIZONTE 2020-05-15 08:00:23 EW;3106200;EW;BELO HORIZONTE;2020-05-15T08:00:23Z;OK;1;EastWest
3106200 BELO HORIZONTE 2020-05-15 08:00:25 NS;3106200;NS;BELO HORIZONTE;2020-05-15T08:00:25Z;OK;1;NorthSouth
1302603 MANAUS 2020-05-15 08:00:28 EW;1302603;EW;MANAUS;2020-05-15T08:00:28Z;OK;1;EastWest
1302603 MANAUS 2020-05-15 08:00:30 NS;1302603;NS;MANAUS;2020-05-15T08:00:30Z;OK;1;NorthSouth
4106902 CURITIBA 2020-05-15 08:00:33 EW;4106902;EW;CURITIBA;2020-05-15T08:00:33Z;OK;1;EastWest
4106902 CURITIBA 2020-05-15 08:00:34 NS;4106902;NS;CURITIBA;2020-05-15T08:00:34Z;OK;1;NorthSouth
2611606 RECIFE 2020-05-15 08:00:37 EW;2611606;EW;RECIFE;2020-05-15T08:00:37Z;OK;1;EastWest
2611606 RECIFE 2020-05-15 08:00:39 NS;2611606;NS;RECIFE;2020-05-15T08:00:39Z;OK;1;NorthSouth
5208707 GOIÂNIA 2020-05-15 08:00:40 EW;5208707;EW;GOIÂNIA;2020-05-15T08:00:40Z;OK;1;EastWest
5208707 GOIÂNIA 2020-05-15 08:00:44 NS;5208707;NS;GOIÂNIA;2020-05-15T08:00:44Z;OK;1;NorthSouth
1501402 BELÉM 2020-05-15 08:00:47 EW;1501402;EW;BELÉM;2020-05-15T08:00:47Z;OK;1;EastWest
1501402 BELÉM 2020-05-15 08:00:49 NS;1501402;NS;BELÉM;2020-05-15T08:00:49Z;OK;1;NorthSouth
4314902 PORTO ALEGRE 2020-05-15 08:00:51 EW;4314902;EW;PORTO ALEGRE;2020-05-15T08:00:51Z;OK;1;EastWest
4314902 PORTO ALEGRE 2020-05-15 08:00:53 NS;4314902;NS;PORTO ALEGRE;2020-05-15T08:00:53Z;OK;1;NorthSouth
3518800 GUARULHOS 2020-05-15 08:00:54 EW;3518800;EW;GUARULHOS;2020-05-15T08:00:54Z;OK;1;EastWest
3518800 GUARULHOS 2020-05-15 08:00:56 NS;3518800;NS;GUARULHOS;2020-05-15T08:00:56Z;OK;1;NorthSouth
3509502 CAMPINAS 2020-05-15 08:00:59 EW;3509502;EW;CAMPINAS;2020-05-15T08:00:59Z;OK;1;EastWest
3509502 CAMPINAS 2020-05-15 08:01:01 NS;3509502;NS;CAMPINAS;2020-05-15T08:01:01Z;OK;1;NorthSouth
2111300 SÃO LUÍS 2020-05-15 08:01:04 EW;2111300;EW;SÃO LUÍS;2020-05-15T08:01:04Z;OK;1;EastWest
2111300 SÃO LUÍS 2020-05-15 08:01:07 NS;2111300;NS;SÃO LUÍS;2020-05-15T08:01:07Z;OK;1;NorthSouth
3304904 SÃO GONÇALO 2020-05-15 08:01:10 EW;3304904;EW;SÃO GONÇALO;2020-05-15T08:01:10Z;OK;1;EastWest
3304904 SÃO GONÇALO 2020-05-15 08:01:11 NS;3304904;NS;SÃO GONÇALO;2020-05-15T08:01:11Z;OK;1;NorthSouth
2704302 MACEIÓ 2020-05-15 08:01:13 EW;2704302;EW;MACEIÓ;2020-05-15T08:01:13Z;OK;1;EastWest
2704302 MACEIÓ 2020-05-15 08:01:16 NS;2704302;NS;MACEIÓ;2020-05-15T08:01:16Z;OK;1;NorthSouth
3301702 DUQUE DE CAXIAS 2020-05-15 08:01:19 EW;3301702;EW;DUQUE DE CAXIAS;2020-05-15T08:01:19Z;OK;1;EastWest
3301702 DUQUE DE CAXIAS 2020-05-15 08:01:21 NS;3301702;NS;DUQUE DE CAXIAS;2020-05-15T08:01:21Z;OK;1;NorthSouth
5002704 CAMPO GRANDE 2020-05-15 08:01:24 EW;5002704;EW;CAMPO GRANDE;2020-05-15T08:01:24Z;OK;1;EastWest
5002704 CAMPO GRANDE 2020-05-15 08:01:27 NS;5002704;NS;CAMPO GRANDE;2020-05-15T08:01:27Z;OK;1;NorthSouth
2408102 NATAL 2020-05-15 08:01:30 EW;2408102;EW;NATAL;2020-05-15T08:01:30Z;OK;1;EastWest
2408102 NATAL 2020-05-15 08:01:32 NS;2408102;NS;NATAL;2020-05-15T08:01:32Z;OK;1;NorthSouth
2211001 TERESINA 2020-05-15 08:01:36 EW;2211001;EW;TERESINA;2020-05-15T08:01:36Z;OK;1;EastWest
2211001 TERESINA 2020-05-15 08:01:37 NS;2211001;NS;TERESINA;2020-05-15T08:01:37Z;OK;1;NorthSouth
3548708 SÃO BERNARDO DO CAMPO 2020-05-15 08:01:38 EW;3548708;EW;SÃO BERNARDO DO CAMPO;2020-05-15T08:01:38Z;OK;1;EastWest
3548708 SÃO BERNARDO DO CAMPO 2020-05-15 08:01:40 NS;3548708;NS;SÃO BERNARDO DO CAMPO;2020-05-15T08:01:40Z;OK;1;NorthSouth
3303500 NOVA IGUAÇU 2020-05-15 08:01:43 EW;3303500;EW;NOVA IGUAÇU;2020-05-15T08:01:43Z;OK;1;EastWest
3303500 NOVA IGUAÇU 2020-05-15 08:01:46 NS;3303500;NS;NOVA IGUAÇU;2020-05-15T08:01:46Z;OK;1;NorthSouth
2507507 JOÃO PESSOA 2020-05-15 08:01:47 EW;2507507;EW;JOÃO PESSOA;2020-05-15T08:01:47Z;OK;1;EastWest
2507507 JOÃO PESSOA 2020-05-15 08:01:48 NS;2507507;NS;JOÃO PESSOA;2020-05-15T08:01:48Z;OK;1;NorthSouth
3547809 SANTO ANDRÉ 2020-05-15 08:01:52 EW;3547809;EW;SANTO ANDRÉ;2020-05-15T08:01:52Z;OK;1;EastWest
3547809 SANTO ANDRÉ 2020-05-15 08:01:54 NS;3547809;NS;SANTO ANDRÉ;2020-05-15T08:01:54Z;OK;1;NorthSouth
3549904 SÃO JOSÉ DOS CAMPOS 2020-05-15 08:01:57 EW;3549904;EW;SÃO JOSÉ DOS CAMPOS;2020-05-15T08:01:57Z;OK;1;EastWest
3549904 SÃO JOSÉ DOS CAMPOS 2020-05-15 08:02:00 NS;3549904;NS;SÃO JOSÉ DOS CAMPOS;2020-05-15T08:02:00Z;OK;1;NorthSouth
